Sl. No.,Crime Head,Persons Arrested - Male,Persons Arrested - Female,Persons Arrested - Transgender,Persons Arrested - Total,Persons Chargesheeted - Male,Persons Chargesheeted - Female,Persons Chargesheeted - Transgender,Persons Chargesheeted - Total,Persons Convicted - Male,Persons Convicted - Female,Persons Convicted - Transgender,Persons Convicted - Total,Persons Discharged - Male,Persons Discharged - Female,Persons Discharged - Transgender,Persons Discharged - Total,Persons Acquitted - Male,Persons Acquitted - Female,Persons Acquitted - Transgender,Persons Acquitted - Total
1,Offences against State,85,2,0,87,52,0,0,52,1,0,0,1,1,0,0,1,32,0,0,32
1.1,Sedition,15,0,0,15,14,0,0,14,0,0,0,0,0,0,0,0,22,0,0,22
1.2,Others,70,2,0,72,38,0,0,38,1,0,0,1,1,0,0,1,10,0,0,10
2,"Imputation, assertions prejudicial to national integration",57,1,0,58,39,0,0,39,1,0,0,1,1,0,0,1,19,0,0,19
3,The Prevention of Damage to Public Property Act,6035,47,8,6090,6787,46,8,6841,2623,2,0,2625,161,0,0,161,1494,14,0,1508
4,The Unlawful Activities (P) Act,2890,24,0,2914,2777,9,0,2786,118,0,0,118,1,0,0,1,86,2,0,88
5,The Official Secrets Act,31,0,0,31,28,0,0,28,16,0,0,16,0,0,0,0,4,0,0,4
Offences against State,Offences against State,9098,74,8,9180,9683,55,8,9746,2759,2,0,2761,164,0,0,164,1635,16,0,1651
